Abelian group,आबेली समूह,आबेल गट
pedal equation,पदिक समीकरण,पदिक समीकरण
percent,प्रतिशत,शेकडा
percentage,प्रतिशतता,शेकडेवारी
percentage error,प्रतिशत त्रुटि,शेकडात्रुटी
percentage frequency,प्रतिशत बारंबारता,शेकडा वारंवारता
percentage increase,प्रतिशत वृद्‌धि,"शेकडावृद्‌धि, शेकडावाढ"
percentage of error,अशुद्‌धि-प्रतिशतता,त्रुटी-शेकडावारी
percent decrease,प्रतिशत ह्रास,शेकडाघट
percentile,शततमक,शततम
perfect cube,पूर्ण घन,पूर्ण घन
perfect gas,आदर्श गैस,आदर्श वायू
perfect number,परिपूर्ण संख्या,परिपूर्ण संख्या
perfect set,परिपूर्ण समुच्चय,परिपूर्ण संच
perfect square,पूर्ण वर्ग,पूर्ण वर्ग
perfect square expression,पूर्ण वर्ग व्यंजक,पूर्ण वर्ग राशी
perimeter,परिमाप,परिमिति
period,1. आवर्तकाल 2. अवधिकाल 3. आवर्तक 4. आवर्तनांक(त्रि कोणमिति ) 5. कल्प 6. कालांक,"काल, कालावधी, काळ, कालखंड, आवर्तन"
periodic curve,आवर्ती वक्र,आवर्ती वक्र
periodic disturbances,आवर्ती विक्षोभ,आवर्ती अडथळे
periodic function,आवर्ती फलन,आवर्ती फल
periodic motion,आवर्ती गति,आवर्ती गती
